Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
09-05-2023,23.5,34,28.2,85,16.2,4.5,3,230,1,C 
10-05-2023,23.8,35,29.5,80,0,6.7,3,150,1,C 
11-05-2023,25,35,28.2,87,0,9.3,4,100,1,C 
12-05-2023,24.4,34.2,28.7,86,0.9,8.1,3,20,1,C 
13-05-2023,24.4,34.6,28.3,86,0,9,3,190,1,C 
14-05-2023,23.9,34.8,28.9,85,0,8.2,4,180,1,C 
15-05-2023,24.4,35.4,28.5,88,0,8.1,4,50,2,C 
16-05-2023,24.3,34,28.2,86,0,7.3,3,60,1,C 
17-05-2023,24.2,33.4,28,89,0,5,3,290,1,C 
18-05-2023,23.6,32.2,27.2,90,12.5,3.2,4,240,1,C 
19-05-2023,23.8,33.2,27.3,90,0,4.7,4,230,1,C 
20-05-2023,23.6,33.8,28.3,86,39.1,5.5,4,240,1,C 
21-05-2023,23.6,31,27.4,91,1,8.8,4,110,1,C 
22-05-2023,24.2,32.8,26.7,93,0,4.7,8,240,1,C 
23-05-2023,22.5,31,26.1,93,99.8,3.8,4,240,1,C 
24-05-2023,23,34.6,28.7,85,0,3.6,3,200,1,C 
25-05-2023,23.6,32.6,28.3,89,0,8.8,4,170,1,C 
26-05-2023,22.8,31.1,27.2,92,19.2,6.7,4,160,1,C 
27-05-2023,22.8,33,27.2,93,0.9,2.4,5,40,1,C 
28-05-2023,23.8,31.6,27.5,91,27.4,5.5,4,160,1,C 
29-05-2023,23.9,33.4,27.6,91,19.7,5.3,7,300,1,C 
30-05-2023,24,32,27.6,91,12,2.6,2,120,1,C 
31-05-2023,24.8,33.5,28.7,87,8888,2.2,5,190,0,C 
01-06-2023,23.8,26.7,24.4,97,2.5,8.3,4,270,1,C 
01-06-2023,23.8,26.7,24.4,97,2.5,8.3,4,270,1,C 
02-06-2023,23,33.4,27.3,90,60.5,0,5,210,1,C 
03-06-2023,22.6,33.4,28.6,87,16.3,6.3,5,140,1,C 
04-06-2023,24.4,31.6,25.2,96,0,6.9,5,350,1,C 
05-06-2023,22.6,33.1,27.5,87,3.5,1.9,4,250,1,C 
06-06-2023,23,32,27.4,91,21.5,6.7,5,100,1,C 
07-06-2023,23.8,30,26.5,90,22.9,5.1,3,230,1,C 
08-06-2023,23.6,32.3,27.3,89,1.9,1,5,220,2,C 
09-06-2023,23.2,33,27.8,87,0.5,6.5,5,110,1,C 
10-06-2023,24.3,33,28.1,89,0,6.2,4,170,1,C 
11-06-2023,24.2,33.6,28.1,86,0,6.1,3,110,1,C 
12-06-2023,24.4,32.6,27.6,90,0.8,7.6,6,210,2,C 
13-06-2023,24.8,33.6,28,88,0.2,3.2,4,190,1,C 
14-06-2023,24.7,32.8,27.4,90,8888,5.1,4,180,1,C 
15-06-2023,24.4,34.7,28.7,83,0,2.1,4,240,1,C 
16-06-2023,23.6,34.6,27.8,85,0,7.9,3,240,1,C 
17-06-2023,23.5,34.6,28.2,86,0,8.8,4,220,1,C 
18-06-2023,24,35,29.1,83,0,9.3,3,250,0,C 
19-06-2023,25.2,30,27.3,92,0,8.5,2,170,0,C 
20-06-2023,24.8,34.4,28.9,81,0,0,3,70,1,C 
21-06-2023,24.8,34.4,28.6,82,0,7.4,4,180,1,C 
22-06-2023,24.8,34.4,29.2,81,0,9,4,130,2,C 
23-06-2023,24.9,34,27.2,91,0,9.1,7,260,2,C 
24-06-2023,23.2,34,28.1,85,31.9,3.9,5,250,1,C 
25-06-2023,23,34,26.8,88,0,7.8,7,250,2,C 
26-06-2023,23.5,33,27.4,88,7.7,6.4,2,190,0,C 
27-06-2023,23.8,33,27.3,88,0,7,3,260,1,C 
28-06-2023,23.8,33.6,27.1,89,0.3,5.3,2,290,1,C 
29-06-2023,24,33.6,28.5,86,1.3,5.7,5,250,2,S 
30-06-2023,23.2,31.7,27.1,89,96.8,7.7,8,260,2,C 
01-07-2023,23.6,29.8,26.2,93,47,4.4,3,90,1,C 
01-07-2023,23.6,29.8,26.2,93,47,4.4,3,90,1,C 
02-07-2023,24,32.8,28,88,0.3,0,3,90,1,C 
03-07-2023,24.8,33,28.5,88,0,5.7,3,150,1,C 
04-07-2023,25,33.6,28.3,88,0,6,4,200,1,C 
05-07-2023,24.9,30.2,26.7,94,15.2,6.1,4,260,1,C 
06-07-2023,24.4,30,25.9,93,0.8,1.7,2,230,0,C 
07-07-2023,23.8,33.4,27.5,87,29.5,0.9,3,200,2,C 
08-07-2023,23.1,34,27.5,86,0.6,6.8,4,90,1,C 
09-07-2023,23.2,32.8,26.6,90,18.1,8.6,3,100,1,C 
10-07-2023,23.4,30.2,26.4,94,0,5.6,3,150,1,C 
11-07-2023,24.4,29.7,26.4,92,5.9,2.3,3,70,1,C 
12-07-2023,23.8,32.7,27.6,88,0,0,3,130,1,C 
13-07-2023,23.6,34,27.8,88,0,6.1,4,10,1,C 
14-07-2023,23.3,28.4,25,96,70.8,7.2,2,170,1,C 
15-07-2023,23.8,32.8,27.3,90,11.9,0,2,270,0,C 
16-07-2023,23.9,34,28.7,84,0,6.9,3,200,1,C 
17-07-2023,24.8,31.2,27.4,90,0,9.6,3,220,1,C 
18-07-2023,24.4,30.1,26.3,91,4.5,3.7,5,190,1,C 
19-07-2023,24.2,31.2,27.2,88,1.7,0.5,4,190,1,C 
20-07-2023,24.5,30,26.1,90,0,1.5,4,180,2,SW
21-07-2023,23.7,33,27.5,84,5.5,0.4,3,140,1,C 
22-07-2023,23.4,33.4,28.1,85,0,8.3,4,160,1,C 
23-07-2023,23.6,33.4,27.8,86,0,9.1,5,230,2,C 
24-07-2023,23.4,31.1,26.5,89,19.3,7.9,3,190,1,C 
25-07-2023,23,34.3,28.3,84,0,1.7,5,240,1,C 
26-07-2023,23.8,34.8,28.8,83,0,9.2,3,140,1,C 
27-07-2023,23.8,34.6,28.9,84,0,9.3,3,210,0,C 
28-07-2023,25,33.8,28.7,87,8888,8.9,4,170,1,C 
29-07-2023,24.9,33.2,28.1,87,0,6.7,5,150,2,C 
30-07-2023,24.8,33.7,28.5,80,0,7,5,180,2,C 
31-07-2023,24.6,32.6,28.1,82,0,8.5,4,140,1,C 
01-08-2023,23.6,33.6,28.3,81,0,3,4,150,1,C 
01-08-2023,23.6,33.6,28.3,81,0,3,4,150,1,C 
02-08-2023,24.6,34.9,28.8,80,1.1,7.6,3,100,1,C 
03-08-2023,25,30.8,26.3,90,0,5.2,4,210,2,C 
04-08-2023,23.8,34.2,28.1,84,1,0.5,3,170,1,C 
05-08-2023,23.8,34,28.7,78,0.1,5.7,5,150,2,C 
06-08-2023,22.6,34.8,27.8,82,0,8.5,4,180,1,C 
07-08-2023,23,34.4,27.9,80,0,8.5,3,160,1,C 
08-08-2023,23,32.4,27,87,0,8.5,4,160,1,C 
09-08-2023,23.1,30.6,26,92,25.1,2.7,3,120,1,C 
